Year,annual income,poverty rate
2010,42939,17.6
2011,45571,18.4
2012,48548,19.1
2013,48077,19
2014,50891,18.7
2015,54007,16.7
2016,55738,16.3
2017,57551,14.9
2018,59874,14.2
2019,63043,13.4
2020,68272,13.2
