Year,high school graduate percentage,bachelor percentage
2010,75.9,29
2011,76.1,29.2
2012,76.4,29.5
2013,76.6,29.7
2014,76.8,29.9
2015,77.3,30.3
2016,77.7,30.8
2017,78.2,31.2
2018,78.7,31.8
2019,79.1,32.5
2020,79.8,33.5
